"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"1",12.327143,12.368571,11.7,11.971429,309579900,10.487321
"2",12.007143,12.278571,11.974286,12.237143,211815100,10.720094
"3",12.252857,12.314285,12.057143,12.15,208685400,10.643752
"4",12.28,12.361428,12.182858,12.21,199276700,10.696313
"5",12.35,13.282857,12.164286,13.224286,837324600,11.584859
"6",13.535714,13.971429,13.35,13.857142,738220000,12.139262
"7",13.705714,13.825714,13.585714,13.685715,360063200,11.989083
"8",13.512857,13.58,13.318571,13.517143,328172600,11.84141
"9",13.668571,13.892858,13.635715,13.871428,311019100,12.151772
"10",13.937143,13.942857,13.545714,13.564285,411565000,11.88271
"11",13.157143,13.158571,12.721429,12.724286,591151400,11.146847
"12",12.661428,12.807143,12.588572,12.642858,341118400,11.075509
"13",12.734285,12.737143,12.235714,12.398571,363506500,10.861509
"14",12.247143,12.501429,12.215714,12.242857,301856100,10.725096
"15",12.382857,12.45,12.297143,12.385715,231953400,10.850245
"16",12.444285,12.642858,12.29,12.321428,226493400,10.793929
"17",12.444285,12.481428,12.141429,12.197143,246718500,10.685053
"18",12.328571,12.378572,12.218572,12.277143,225416100,10.755135
"19",12.347143,12.355714,12.178572,12.221429,144492600,10.706326
"20",12.122857,12.285714,12.05,12.247143,214017300,10.728851
"21",12.318571,12.324286,12.105714,12.105714,166085500,10.604955
"22",12.017143,12.178572,11.957143,12.107142,155382500,10.606208
"23",12.042857,12.175714,11.991428,11.991428,144713100,10.50484
"24",12.064285,12.067142,11.837143,12.021428,216098400,10.53112
"25",12.068571,12.34,11.935715,12.307143,266706300,10.781416
"26",12.204286,12.358571,12.201428,12.311429,169757700,10.78517
"27",12.268572,12.314285,11.887143,11.895715,215135200,10.420993
"28",12.061429,12.168571,11.947143,12.125714,181017900,10.622478
"29",12.165714,12.184286,12.042857,12.1,145246500,10.599951
"30",12.09,12.234285,12.081429,12.185715,126995400,10.67504
"31",12.205714,12.231428,12.111428,12.172857,90915300,10.663776
"32",12.178572,12.201428,12.094286,12.118571,99967000,10.616222
"33",12.092857,12.308572,12.022857,12.271428,154425600,10.75013
"34",12.282857,12.784286,12.28,12.742857,288828400,11.163113
"35",12.971429,12.972857,12.647142,12.787143,209556200,11.201908
"36",12.737143,12.905714,12.692857,12.724286,129473400,11.146847
"37",12.834286,12.857142,12.515715,12.644286,153962200,11.076762
"38",12.328571,12.44,11.915714,11.99,286453300,10.503589
"39",11.857142,12.228572,11.857142,12.087143,229868800,10.58869
"40",12.004286,12.615714,11.964286,12.437143,353882200,10.895303
"41",12.395715,12.505714,12.172857,12.201428,215000100,10.688806
"42",12.27,12.664286,12.251429,12.331429,209724900,10.802691
"43",12.542857,12.615714,12.485714,12.598572,180796700,11.036715
"44",12.578571,12.71,12.492857,12.531428,156571100,10.977896
"45",12.655714,12.674286,12.494286,12.571428,127752800,11.012938
"46",12.685715,12.692857,12.485714,12.567142,112959000,11.009181
"47",12.581429,12.855714,12.57,12.838572,182352100,11.246961
"48",12.772857,12.942857,12.628572,12.628572,216972700,11.062997
"49",12.657143,12.857142,12.56,12.857142,199146500,11.26323
"50",12.851429,12.908571,12.758572,12.795714,139874700,11.209416
"51",12.791429,12.855714,12.76,12.798572,142926000,11.211919
"52",12.891429,13.078571,12.798572,13.018572,178240300,11.404646
"53",13.05,13.12,13.008572,13.068571,122229100,11.448448
"54",13.141429,13.428572,13.092857,13.41,171724000,11.74755
"55",13.39,13.48,13.285714,13.422857,140373100,11.758811
"56",13.335714,13.438571,13.328571,13.36,112721000,11.703749
"57",13.427143,13.7,13.328571,13.692857,216246800,11.99534
"58",13.672857,13.832857,13.571428,13.637143,233013200,11.946534
"59",13.554286,13.628572,13.307143,13.32,235584300,11.668706
"60",13.455714,13.455714,13.175714,13.392858,181430900,11.732532
